PRINCIPIOS_ATIVOS_WHODRUG;Harmonização
"""Benzilpenicilina benzatina, penicilina g benzatina|Benzylpenicillin sodium""";Benzathine benzylpenicillin|Benzylpenicillin
Ácido ascórbico_x000D_|Cloridrato de doxicilcina;Doxycycline
Ácido benzóico_x000D_|Methenamine_x000D_|Salicilato de sódio;Ácido benzóico|Methenamine|Salicilato
Acriflavinium chloride|Atropa belladonna|Methenamine|Methylthioninium chloride;Acriflavinium chloride|Atropa belladonna|Methenamine|Methylthioninium chloride
Amicacina;Amikacin
Amikacin;Amikacin
Amikacin sulfate;Amikacin
Amoxicilina sódica;Amoxicillin
Amoxicilina sódica_x000D_|Amoxicilina trihidrato_x000D_|Clavulanato de potássio;Amoxicillin|Clavulanic acid
Amoxicilina sódica_x000D_|Clavulanato de potássio;Amoxicillin|Clavulanic acid
Amoxicilina sódica_x000D_|Sulbactam sódico;Amoxicillin|Sulbactam
Amoxicilina sódica|Clavulanato de potássio;Amoxicillin|Clavulanic acid
Amoxicilina sódica|Sulbactam sódico;Amoxicillin|Sulbactam
Amoxicilina trihidrato;Amoxicillin
Amoxicilina trihidrato_x000D_|Ácido clavulânico;Amoxicillin|Clavulanic acid
Amoxicilina trihidrato_x000D_|Clarithromycin_x000D_|Esomeprazol magnésico;Amoxicillin|Clarithromycin|Esomeprazole
Amoxicilina trihidrato_x000D_|Clarithromycin_x000D_|Lansoprazole;Amoxicillin|Clarithromycin|Lansoprazole
Amoxicilina trihidrato_x000D_|Clarithromycin_x000D_|Omeprazole;Amoxicillin|Clarithromycin|Omeprazole
Amoxicilina trihidrato_x000D_|Clavulanato de potássio;Amoxicillin|Clavulanic acid
Amoxicilina trihidrato_x000D_|Sulbactam pivoxila;Amoxicillin|Sulbactam
Amoxicilina trihidrato|Ácido clavulânico;Amoxicillin|Clavulanic acid
Amoxicilina trihidrato|Clavulanato de potássio;Amoxicillin|Clavulanic acid
Amoxicillin;Amoxicillin
Amoxicillin sodium;Amoxicillin
Amoxicillin sodium|Clavulanate potassium;Amoxicillin|Clavulanic acid
Amoxicillin sodium|Sulbactam sodium;Amoxicillin|Sulbactam
Amoxicillin trihydrate;Amoxicillin
Amoxicillin trihydrate|Clarithromycin|Esomeprazole magnesium;Amoxicillin|Clarithromycin|Esomeprazole
Amoxicillin trihydrate|Clarithromycin|Lansoprazole;Amoxicillin|Clarithromycin|Lansoprazole
Amoxicillin trihydrate|Clarithromycin|Omeprazole;Amoxicillin|Clarithromycin|Omeprazole
Amoxicillin trihydrate|Clavulanate potassium;Amoxicillin|Clavulanic acid
Amoxicillin trihydrate|Clavulanic acid;Amoxicillin|Clavulanic acid
Amoxicillin trihydrate|Flucloxacillin sodium;Amoxicillin|Flucloxacillin
Amoxicillin trihydrate|Lansoprazole|Levofloxacin;Amoxicillin|Lansoprazole|Levofloxacin
Amoxicillin trihydrate|Pivsulbactam;Amoxicillin|Sulbactam
Amoxicillin_x000D_|Ácido clavulânico;Amoxicillin|Clavulanic acid
Amoxicillin_x000D_|Clavulanato de potássio;Amoxicillin|Clavulanic acid
Amoxicillin_x000D_|Sulbactam;Amoxicillin|Sulbactam
Amoxicillin|Ácido clavulânico;Amoxicillin|Clavulanic acid
Amoxicillin|Clarithromycin|Esomeprazole;Amoxicillin|Clarithromycin|Esomeprazole
Amoxicillin|Clavulanate potassium;Amoxicillin|Clavulanic acid
Amoxicillin|Clavulanato de potássio;Amoxicillin|Clavulanic acid
Amoxicillin|Clavulanic acid;Amoxicillin|Clavulanic acid
Amoxicillin|Sulbactam;Amoxicillin|Sulbactam
Amphotericin b|Tetracycline hydrochloride;Amphotericin b|Tetracycline
Ampicilina;Ampicillin
Ampicilina sódica;Ampicillin
Ampicilina sódica_x000D_|Sulbactam sódico;Ampicillin|Sulbactam
Ampicilina sódica|Sulbactam sódico;Ampicillin|Sulbactam
Ampicilina trihidratada;Ampicillin
Ampicilina trihidratada_x000D_|Cloxacilina sódica;Ampicillin|Cloxacillin
Ampicilina_x000D_|Sulbactam;Ampicillin|Sulbactam
Ampicilina|Sulbactam;Ampicillin|Sulbactam
Ampicillin;Ampicillin
Ampicillin potassium;Ampicillin
Ampicillin sodium;Ampicillin
Ampicillin sodium|Sulbactam sodium;Ampicillin|Sulbactam
Ampicillin trihydrate;Ampicillin
Ampicillin trihydrate|Chymotrypsin|Dicloxacillin sodium monohydrate|Trypsin;Ampicillin|Chymotrypsin|Dicloxacillin|Trypsin
Ampicillin trihydrate|Cloxacillin sodium;Ampicillin|Cloxacillin
Ampicillin|Cloxacilina;Ampicillin|Cloxacillin
Ampicillin|Cloxacillin;Ampicillin|Cloxacillin
Ampicillin|Sulbactam;Ampicillin|Sulbactam
Arginine|Cefepime hydrochloride;Cefepime
Avibactam;Avibactam|Ceftazidime
Avibactam sódico_x000D_|Ceftazidime;Avibactam|Ceftazidime
Avibactam sódico|Ceftazidima pentaidratada;Avibactam|Ceftazidime
Avibactam sódico|Ceftazidime;Avibactam|Ceftazidime
Avibactam sodium|Ceftazidime;Avibactam|Ceftazidime
Avibactam sodium|Ceftazidime pentahydrate;Avibactam|Ceftazidime
Avibactam_x000D_|Ceftazidime;Avibactam|Ceftazidime
Avibactam|Ceftazidime;Avibactam|Ceftazidime
Axetil cefuroxima;Cefuroxime
Azithromycin;Azithromycin
Azithromycin dihydrate;Azithromycin
Azithromycin monohydrate;Azithromycin
Azitromicina di-hidratada;Azithromycin
Azitromicina monoidratada;Azithromycin
Aztreonam;Aztreonam
Aztreonam lysine;Aztreonam
Bekanamycin sulfate;Bekanamycin
Benzathine benzylpenicillin;Benzathine benzylpenicillin
Benzathine benzylpenicillin|Benzylpenicillin potassium|Procaine benzylpenicillin;Benzathine benzylpenicillin|Benzylpenicillin|Procaine benzylpenicillin
Benzathine benzylpenicillin|Benzylpenicillin sodium|Procaine benzylpenicillin;Benzathine benzylpenicillin|Benzylpenicillin|Procaine benzylpenicillin
Benzilpenicilina;Benzylpenicillin
Benzilpenicilina benzatina, penicilina g benzatina;Benzathine benzylpenicillin
Benzilpenicilina benzatina, penicilina g benzatina_x000D_|Benzilpenicilina potássica_x000D_|Benzilpenicilina procaína;Benzathine benzylpenicillin|Benzylpenicillin|Procaine benzylpenicillin
Benzilpenicilina benzatina, penicilina g benzatina_x000D_|Benzylpenicillin sodium_x000D_|Benzilpenicilina procaína;Benzathine benzylpenicillin|Benzylpenicillin|Procaine benzylpenicillin
Benzilpenicilina benzatina, penicilina g benzatina|Benzylpenicillin sodium|Benzilpenicilina procaína;Benzathine benzylpenicillin|Benzylpenicillin|Procaine benzylpenicillin
Benzilpenicilina potássica;Benzylpenicillin
Benzilpenicilina potássica_x000D_|Benzilpenicilina procaína;Benzylpenicillin|Procaine benzylpenicillin
Benzilpenicilina potássica|Benzilpenicilina procaína;Benzylpenicillin|Procaine benzylpenicillin
Benzilpenicilina procaína;Procaine benzylpenicillin
Benzylpenicillin;Benzylpenicillin
Benzylpenicillin potassium;Benzylpenicillin
Benzylpenicillin potassium|Procaine benzylpenicillin;Benzylpenicillin|Procaine benzylpenicillin
Benzylpenicillin sodium;Benzylpenicillin
Benzylpenicillin sodium_x000D_|Benzilpenicilina procaína;Benzylpenicillin|Procaine benzylpenicillin
Benzylpenicillin sodium|Procaine benzylpenicillin;Benzylpenicillin|Procaine benzylpenicillin
Bicarbonato de sódio|Sulfamethoxazole|Trimethoprim;Sulfamethoxazole|Trimethoprim
Cefaclor;Cefaclor
Cefaclor monohydrate;Cefaclor
Cefaclor monoidratado;Cefaclor
Cefadroxil;Cefadroxil
Cefadroxil monohydrate;Cefadroxil
Cefadroxila;Cefadroxil
Cefadroxila monoidratada;Cefadroxil
Cefalexin;Cefalexin
Cefalexin hydrochloride;Cefalexin
Cefalexin monohydrate;Cefalexin
Cefalexin sodium;Cefalexin
Cefalexina monoidratada;Cefalexin
Cefalotin;Cefalotin
Cefalotin sodium;Cefalotin
Cefalotina sódica;Cefalotin
Cefazolin;Cefazolin
